domain,uniq_human_visitors,uniq_bot_visitors,total_visitor_count,language_code,site_type
nn.m.wikipedia.org,5977,3167,9144,nn,wikipedia
pag.wikipedia.org,113,9024,9137,pag,wikipedia
wa.wikipedia.org,388,8740,9128,wa,wikipedia
tr.wiktionary.org,952,8172,9124,tr,wiktionary
nap.wikipedia.org,415,8582,8997,nap,wikipedia
ie.wikipedia.org,172,8823,8995,ie,wikipedia
nov.wikipedia.org,74,8752,8826,nov,wikipedia
eu.m.wikipedia.org,5660,3111,8771,eu,wikipedia
id.wiktionary.org,1175,7570,8745,id,wiktionary
ro.wiktionary.org,870,7867,8737,ro,wiktionary
xal.wikipedia.org,120,8583,8703,xal,wikipedia
ht.wikipedia.org,287,8332,8619,ht,wikipedia
eo.wikibooks.org,11,8475,8486,eo,wikibooks
en.m.wikivoyage.org,3362,5072,8434,en,wikivoyage
m.mediawiki.org,7163,1260,8423,m,wiki
pap.wikipedia.org,173,8248,8421,pap,wikipedia
species.wikimedia.org,1394,7025,8419,species,wikimedia
sc.wikipedia.org,382,8028,8410,sc,wikipedia
he.m.wiktionary.org,2614,5744,8358,he,wiktionary
szl.wikipedia.org,656,7690,8346,szl,wikipedia
frp.wikipedia.org,229,8115,8344,frp,wikipedia
id.m.wikisource.org,1076,7258,8334,id,wikisource
fur.wikipedia.org,88,8149,8237,fur,wikipedia
vep.wikipedia.org,238,7972,8210,vep,wikipedia
th.m.wiktionary.org,1829,6275,8104,th,wiktionary
mn.wikipedia.org,4651,3385,8036,mn,wikipedia
be.m.wikipedia.org,5333,2697,8030,be,wikipedia
ext.wikipedia.org,268,7655,7923,ext,wikipedia
as.m.wikipedia.org,5619,2287,7906,as,wikipedia
gor.wikipedia.org,826,7023,7849,gor,wikipedia
lfn.wikipedia.org,164,7666,7830,lfn,wikipedia
ha.wikipedia.org,266,7501,7767,ha,wikipedia
ru.m.wikinews.org,2649,5100,7749,ru,wikinews
za.wikipedia.org,110,7576,7686,za,wikipedia
na.wikipedia.org,72,7566,7638,na,wikipedia
shn.wikipedia.org,103,7516,7619,shn,wikipedia
en.m.wikiversity.org,2249,5368,7617,en,wikiversity
ksh.wikipedia.org,174,7373,7547,ksh,wikipedia
is.wikibooks.org,33,7514,7547,is,wikibooks
sr.m.wiktionary.org,2309,5206,7515,sr,wiktionary
it.wikisource.org,2560,4901,7461,it,wikisource
sn.wikipedia.org,207,7236,7443,sn,wikipedia
io.wiktionary.org,53,7353,7406,io,wiktionary
bh.m.wikipedia.org,4386,2952,7338,bh,wikipedia
ru.wikinews.org,483,6853,7336,ru,wikinews
ko.m.wiktionary.org,2284,5017,7301,ko,wiktionary
simple.wiktionary.org,924,6377,7301,simple,wiktionary
is.m.wikipedia.org,4365,2923,7288,is,wikipedia
